participant,Spearman_r,p,pspin,p_fdr
BEST-MUC-017,-0.34152396934172546,0.004367713848986443,0.0055,0.110830738918031
BEST-MUC-018,-0.054222275991195244,0.6605441750549721,0.3305,0.9060166725416171
BEST-MUC-019,0.14937855188560267,0.22405926660436148,0.1595,0.6146490691984511
BEST-MUC-020,-0.18710503687102584,0.12655478830963646,0.083,0.513812440537124
BEST-MUC-021,-0.3542776596100771,0.003036012329246177,0.001,0.10271841713949566
BEST-MUC-022,-0.21200146218529295,0.08263722378400278,0.041499999999999995,0.461445779460846
BEST-MUC-024,-0.2885236037954023,0.017028089426379754,0.02,0.24690729668250644
BEST-MUC-025,-0.03963572005553568,0.7482778257180414,0.38,0.9553484189985055
BEST-MUC-026,-0.006491399238382529,0.9581003702073819,0.4875,0.9833047169058211
BEST-MUC-028,0.1290642907396056,0.29419906107308397,0.1465,0.7195471011787475
BEST-MUC-029,0.10508429825899246,0.39374446966350285,0.201,0.8105753791702551
BEST-MUC-030,0.17206026451853926,0.16060845492708653,0.091,0.5719915149157643
BEST-MUC-031,0.3965099393609658,0.0008156465073617026,0.001,0.06731479100954929
BEST-MUC-032,0.034366231262025156,0.7808439777472598,0.393,0.9576302687585215
BEST-MUC-033,0.029554958885341633,0.8109115703219688,0.40549999999999997,0.9576302687585215
BEST-MUC-034,0.3280829544481335,0.0063079702042019795,0.0085,0.14227977238366687
BEST-MUC-035,-0.09492716768599394,0.441289278133285,0.22999999999999998,0.823176906732149
BEST-MUC-037,-0.011149932809457051,0.9280942438343811,0.46299999999999997,0.9772153866415604
BEST-MUC-038,0.0908795893373554,0.46109468034540424,0.2635,0.823176906732149
BEST-MUC-039,0.03688642155457367,0.765218140899464,0.395,0.9576302687585215
BEST-MUC-040,0.1990950331113324,0.10359234919400807,0.0605,0.4890522531717126
BEST-MUC-041,0.034824447678852156,0.777996275763746,0.40049999999999997,0.9576302687585215
BEST-MUC-042,-0.222387700966705,0.0683404117548946,0.0505,0.461445779460846
BEST-MUC-043,-0.011073563406652548,0.9285854574442932,0.4685,0.9772153866415604
BEST-MUC-044,0.05040380585097022,0.683131136255106,0.3615,0.9123396096038587
BEST-MUC-046,-0.03115871634423614,0.8008563865382523,0.406,0.9576302687585215
BEST-MUC-047,-0.10019665647950445,0.41623345836845016,0.2335,0.8194427539151535
BEST-MUC-048,-0.04108673870882119,0.7393841749058838,0.376,0.949968275353762
BEST-MUC-049,0.021154324576846593,0.8640444875808754,0.4375,0.9749984640114338
BEST-MUC-050,0.1540370854566772,0.20977897580353566,0.096,0.5997905927903907
BEST-MUC-051,-0.08843576844761139,0.4732836524213322,0.2675,0.823176906732149
BEST-MUC-052,-0.12730779447510207,0.3008741903745515,0.1565,0.7270083624031035
BEST-MUC-053,-0.014662925338464066,0.9055303032387644,0.457,0.9772153866415604
BEST-MUC-055,0.032304257386303645,0.793693697837346,0.3795,0.9576302687585215
BEST-MUC-056,0.08423545129336388,0.4946318388455515,0.2675,0.823176906732149
BEST-MUC-057,-0.2078775144338499,0.08893209273635934,0.048,0.461445779460846
BEST-MUC-058,0.1506004623304747,0.22024958714437037,0.101,0.6124748793192765
BEST-MUC-059,-0.05460412300521775,0.6583015956815195,0.325,0.9060166725416171
BEST-MUC-061,0.34686982753804063,0.0037568800437779723,0.0055,0.1089495212695612
BEST-MUC-063,-0.12448212657133555,0.3118176872973212,0.14600000000000002,0.7270083624031035
BEST-MUC-064,0.2489642531426711,0.04062788740053181,0.0225,0.36404430006614297
BEST-MUC-065,0.030242283510582137,0.8065983705029725,0.4165,0.9576302687585215
BEST-MUC-066,0.06781602969039631,0.582668816821074,0.313,0.8603588201857946
BEST-MUC-067,0.025660119342312118,0.8354554681054978,0.4265,0.9609476214439474
BEST-MUC-069,-0.01970330592356109,0.8732901183164827,0.446,0.9772153866415604
BEST-MUC-070,-0.059109917770683265,0.6320702642510949,0.313,0.9035934059364243
BEST-MUC-071,0.028180309634860626,0.8195546944181544,0.4235,0.9609476214439474
BEST-MUC-072,-0.08202073861203338,0.5060873042123726,0.2845,0.823176906732149
BEST-MUC-073,0.1742749771998698,0.15520997873799391,0.075,0.5653060132431906
BEST-MUC-074,-0.014739294741268566,0.9050405440952495,0.471,0.9772153866415604
BEST-MUC-075,-0.07255093266427533,0.556563073978004,0.2835,0.8431515225189165
BEST-MUC-077,0.27966475307008026,0.02090398584860287,0.0175,0.26068989818256555
BEST-MUC-079,-0.06919067894087731,0.5750324407578539,0.3,0.8603588201857946
BEST-MUC-080,-0.20581554055812845,0.09221800611873418,0.065,0.461445779460846
BEST-MUC-081,0.10409149602253397,0.3982533958070228,0.218,0.8105753791702551
BEST-MUC-082,0.0860683169606719,0.4852549150523856,0.2405,0.823176906732149
BEST-MUC-083,0.15625179813800769,0.20322072869048002,0.0915,0.5978128468829478
BEST-MUC-084,0.2575939956595797,0.0339450728098062,0.0165,0.33778794584392435
BEST-MUC-085,-0.034671708873243154,0.7789451881435412,0.387,0.9576302687585215
BEST-MUC-086,-0.0009928022364585043,0.9935890082482414,0.487,0.9935890082482414
BEST-MUC-088,-0.0659067946202838,0.5933509104729618,0.2925,0.8603588201857946
BEST-MUC-089,0.18985433537198787,0.12097500085810209,0.085,0.5087993439674156
BEST-MUC-090,-0.15586995112398522,0.20434092702425016,0.1175,0.5978128468829478
BEST-MUC-091,-0.15121141755291068,0.2183618700388054,0.1095,0.6124748793192765
BEST-MUC-092,-0.1819882868831243,0.137457629269701,0.08549999999999999,0.5264886555047038
BEST-MUC-093,0.2414800516678301,0.047273403045994956,0.034,0.383860032733479
BEST-MUC-094,0.04612711929391821,0.7087608480543811,0.38,0.928851469104138
BEST-MUC-095,-0.014968402949682068,0.9035714791191237,0.4645,0.9772153866415604
BEST-MUC-096,0.20711382040580492,0.0901381805706309,0.062,0.461445779460846
BEST-MUC-097,0.23712699570797358,0.05153307860562904,0.0445,0.40075877811093596
BEST-MUC-098,-0.008477003711299539,0.9453013487415902,0.493,0.9811006700271102
BEST-MUC-099,-0.004123947751443018,0.9733742768032432,0.502,0.9879748909552918
BEST-MUC-100,-0.0887412460588294,0.4717506239264695,0.231,0.823176906732149
BEST-MUC-101,-0.07713309683254535,0.5318424788768288,0.28300000000000003,0.8260748726835396
BEST-MUC-102,0.15716823097166172,0.20055009533524956,0.0955,0.5978128468829478
BEST-MUC-103,0.09492716768599394,0.441289278133285,0.2365,0.823176906732149
BEST-MUC-104,-0.13792314146492762,0.2620207952359197,0.1375,0.6674237749978222
BEST-MUC-105,0.1739694995886518,0.15594648641191466,0.114,0.5653060132431906
BEST-MUC-106,0.0445233618350237,0.7184575311558364,0.3875,0.9349158899015052
BEST-MUC-107,-0.10004391767389545,0.4169479624664718,0.202,0.8194427539151535
BEST-MUC-108,0.08446455950177738,0.4934545714585994,0.268,0.823176906732149
BEST-MUC-109,-0.2570594098399481,0.03433051213280268,0.018000000000000002,0.33778794584392435
BEST-MUC-110,0.23353763377616205,0.05527707284288772,0.025500000000000002,0.40075877811093596
BEST-MUC-111,-0.25621934640909866,0.034943580604543896,0.013,0.33778794584392435
BEST-MUC-112,0.08186799980642437,0.5068823317316189,0.27249999999999996,0.823176906732149
BEST-MUC-113,0.1552589959015492,0.20614236099411992,0.10450000000000001,0.5978128468829478
BEST-MUC-114,-0.14609466756500916,0.234525103432732,0.107,0.6155297218575948
BEST-MUC-115,0.08095156697277037,0.5116659291422379,0.2735,0.8243506636180499
BEST-MUC-116,0.029707697690950635,0.8099525917852473,0.384,0.9576302687585215
BEST-MUC-117,0.3930733162347632,0.0009137364540932972,0.0,0.06731479100954929
BEST-MUC-118,0.19214541745612285,0.11647050774084897,0.0915,0.5087993439674156
BEST-MUC-119,-0.2038299360852114,0.09547154057810606,0.0675,0.461445779460846
BEST-MUC-120,-0.07614029459608684,0.5371521339617105,0.3225,0.8260748726835396
